,fighter_1,fighter_2,winner,A_Sig._str._%,A_Td_%,A_Ctrl_%,B_Sig._str._%,B_Td_%,B_Ctrl_%
7066,Jesse Lennox,Danillo Villefort,Jesse Lennox,0.32,0.5,0.5193798449612403,0.37,0.5,0.4806201550387597
7067,Ricardo Almeida,Kendall Grove,Ricardo Almeida,0.61,0.42857142857142855,0.9219178082191781,0.4,0.0,0.07808219178082192
7068,Aaron Riley,Shane Nelson,Aaron Riley,0.4,0.4,0.997867803837953,0.37,0.0,0.0021321961620469083
7069,Alessio Sakara,Thales Leites,Alessio Sakara,0.28,0.0,0.17010309278350516,0.21,0.3333333333333333,0.8298969072164949
7070,Johny Hendricks,Amir Sadollah,Johny Hendricks,0.46,0.0,1.0,0.22,0.0,0.0
7071,Dan Henderson,Michael Bisping,Dan Henderson,0.29,0.0,0.8181818181818182,0.2,0.0,0.18181818181818182
7072,Jon Jones,Jake O'Brien,Jon Jones,0.28,0.0,0.918918918918919,0.16,0.0,0.08108108108108109
7073,Jim Miller,Mac Danzig,Jim Miller,0.4,0.8571428571428571,0.9573170731707317,0.35,0.0,0.042682926829268296
7074,Tom Lawlor,CB Dollaway,Tom Lawlor,0.0,0.0,0.0,0.2,0.0,1.0
7075,Georges St-Pierre,Thiago Alves,Georges St-Pierre,0.46,0.8333333333333334,0.9084668192219679,0.18,0.0,0.09153318077803203
7076,Jon Fitch,Paulo Thiago,Jon Fitch,0.44,1.0,0.8992718446601942,0.45,0.0,0.10072815533980582
7077,Dong Hyun Kim,TJ Grant,Dong Hyun Kim,0.49,0.8,0.8180628272251309,0.5,0.2,0.18193717277486912
7078,Yoshihiro Akiyama,Alan Belcher,Yoshihiro Akiyama,0.35,0.75,0.8127659574468085,0.48,0.0,0.18723404255319148
7079,Shannon Gugerty,Matt Grice,Shannon Gugerty,0.1,1.0,0.6697247706422018,0.5,0.0,0.3302752293577982
7080,Mark Coleman,Stephan Bonnar,Mark Coleman,0.55,0.3333333333333333,0.7853333333333333,0.43,0.0,0.21466666666666667
7081,Brock Lesnar,Frank Mir,Brock Lesnar,0.92,1.0,1.0,0.33,0.0,0.0
7082,Jason Dent,Cameron Dollar,Jason Dent,0.38,0.0,0.8571428571428571,0.38,0.0,0.14285714285714285
7083,Tomasz Drwal,Mike Ciesnolevicz,Tomasz Drwal,0.44,0.8,1.0,0.5,0.0,0.0
7084,Joe Stevenson,Nate Diaz,Joe Stevenson,0.57,0.5714285714285714,0.8240620957309185,0.2,0.5,0.1759379042690815
7085,Brad Blackburn,Edgar Garcia,Brad Blackburn,0.4,0.0,0.46153846153846156,0.21,0.3333333333333333,0.5384615384615384
7086,Chris Lytle,Kevin Burns,Chris Lytle,0.4,0.0,0.4,0.35,1.0,0.6
7087,Nick Osipczak,Frank Lester,Nick Osipczak,0.46,1.0,0.9722222222222222,0.36,0.0,0.027777777777777776
7088,James Wilks,DaMarques Johnson,James Wilks,0.58,1.0,0.6415094339622641,0.61,0.0,0.3584905660377358
7089,Ross Pearson,Andre Winner,Ross Pearson,0.57,0.0,0.38605442176870747,0.53,0.0,0.6139455782312925
7090,Melvin Guillard,Gleison Tibau,Melvin Guillard,0.26,0.25,0.019120458891013385,0.28,0.42857142857142855,0.9808795411089866
7091,Diego Sanchez,Clay Guida,Diego Sanchez,0.47,0.5,0.12177121771217712,0.3,0.2857142857142857,0.8782287822878229
7092,Dan Hardy,Marcus Davis,Dan Hardy,0.45,1.0,0.4222222222222222,0.46,0.3333333333333333,0.5777777777777777
7093,Spencer Fisher,Caol Uno,Spencer Fisher,0.72,0.5,0.30048465266558966,0.51,0.2,0.6995153473344103
7094,Stefan Struve,Denis Stojnic,Stefan Struve,0.66,0.0,0.3076923076923077,0.26,0.0,0.6923076923076923
7095,Paul Kelly,Rolando Delgado,Paul Kelly,0.43,1.0,0.6610878661087866,0.5,0.2,0.3389121338912134
7096,Dennis Siver,Dale Hartt,Dennis Siver,0.34,0.0,0.71,0.31,1.0,0.29
7097,Cain Velasquez,Cheick Kongo,Cain Velasquez,0.54,0.7,0.9386281588447654,0.61,0.3333333333333333,0.061371841155234655
7098,Terry Etim,Justin Buchholz,Terry Etim,0.54,0.0,0.4727272727272727,0.34,0.0,0.5272727272727272
7099,John Hathaway,Rick Story,John Hathaway,0.36,0.4,0.625,0.31,1.0,0.375
7100,Mike Swick,Ben Saunders,Mike Swick,0.28,1.0,0.8958904109589041,0.54,0.0,0.10410958904109589
7101,Paul Taylor,Peter Sobotta,Paul Taylor,0.45,0.0,0.6807980049875312,0.46,0.2857142857142857,0.3192019950124688
7102,Rich Franklin,Wanderlei Silva,Rich Franklin,0.34,0.5,0.4588235294117647,0.27,1.0,0.5411764705882353
7103,Mirko Filipovic,Mostapha Al-Turk,Mirko Filipovic,0.45,1.0,0.75,0.28,0.0,0.25
7104,Tim Hague,Pat Barry,Tim Hague,0.0,1.0,1.0,0.27,0.0,0.0
7105,Brock Larson,Mike Pyle,Brock Larson,0.4,1.0,1.0,0.25,0.0,0.0
7106,Frankie Edgar,Sean Sherk,Frankie Edgar,0.38,0.14285714285714285,0.6428571428571429,0.13,0.3333333333333333,0.35714285714285715
7107,Chael Sonnen,Dan Miller,Chael Sonnen,0.59,0.6,0.9987995198079231,0.42,0.0,0.0012004801920768306
7108,George Roop,David Kaplan,George Roop,0.27,0.0,0.0,0.47,0.35714285714285715,1.0
7109,Kyle Bradley,Phillipe Nover,Kyle Bradley,0.63,1.0,1.0,0.27,0.0,0.0
7110,Matt Hughes,Matt Serra,Matt Hughes,0.58,0.6,0.9032846715328468,0.34,1.0,0.09671532846715329
7111,Drew McFedries,Xavier Foupa-Pokam,Drew McFedries,0.66,0.0,1.0,0.0,0.0,0.0
7112,Krzysztof Soszynski,Andre Gusmao,Krzysztof Soszynski,0.36,0.0,0.8421052631578947,0.51,0.0,0.15789473684210525
7113,Yoshiyuki Yoshida,Brandon Wolff,Yoshiyuki Yoshida,0.66,0.0,0.6767676767676768,0.4,0.0,0.32323232323232326
7114,Lyoto Machida,Rashad Evans,Lyoto Machida,0.6,0.0,1.0,0.16,0.0,0.0
7115,Eliot Marshall,Vinny Magalhaes,Eliot Marshall,0.26,0.0,0.0,0.22,0.6666666666666666,1.0
7116,TJ Grant,Ryo Chonan,TJ Grant,0.44,0.75,0.2699468085106383,0.41,1.0,0.7300531914893617
7117,Anderson Silva,Thales Leites,Anderson Silva,0.67,0.0,0.5108359133126935,0.18,0.07142857142857142,0.4891640866873065
7118,Nate Quarry,Jason MacDonald,Nate Quarry,0.47,1.0,0.7985074626865671,1.0,0.0,0.20149253731343283
7119,Luiz Cane,Steve Cantwell,Luiz Cane,0.39,0.0,0.8666666666666667,0.36,0.0,0.13333333333333333
7120,Ed Herman,David Loiseau,Ed Herman,0.84,0.5555555555555556,0.9546061415220294,0.37,0.0,0.04539385847797063
7121,Denis Kang,Xavier Foupa-Pokam,Denis Kang,0.47,0.8333333333333334,0.9876543209876543,0.43,0.0,0.012345679012345678
7122,Mark Bocek,David Bielkheden,Mark Bocek,0.46,0.5,0.916030534351145,0.8,0.0,0.08396946564885496
7123,Krzysztof Soszynski,Brian Stann,Krzysztof Soszynski,0.27,1.0,0.9224137931034483,0.44,0.0,0.07758620689655173
7124,Sam Stout,Matt Wiman,Sam Stout,0.33,0.0,0.37616822429906543,0.44,0.36363636363636365,0.6238317757009346
7125,Mauricio Rua,Chuck Liddell,Mauricio Rua,0.75,0.0,0.5531914893617021,0.21,1.0,0.44680851063829785
7126,Cheick Kongo,Antoni Hardonk,Cheick Kongo,0.63,0.6666666666666666,1.0,0.45,0.0,0.0
7127,Ryan Bader,Carmelo Marrero,Ryan Bader,0.42,0.7142857142857143,0.9085457271364318,0.2,0.0,0.09145427286356822
7128,Tim Credeur,Nick Catone,Tim Credeur,0.23,0.0,0.0676056338028169,0.51,1.0,0.9323943661971831
7129,Jorge Rivera,Nissen Osterneck,Jorge Rivera,0.6,0.5,0.593006993006993,0.5,0.125,0.406993006993007
7130,Ricardo Almeida,Matt Horwich,Ricardo Almeida,0.61,0.6,0.8016,0.64,0.0,0.1984
7131,Gleison Tibau,Jeremy Stephens,Gleison Tibau,0.35,0.38461538461538464,0.9309815950920245,0.57,0.0,0.06901840490797546
7132,Martin Kampmann,Carlos Condit,Martin Kampmann,0.42,1.0,0.7112462006079028,0.4,0.75,0.2887537993920973
7133,Brock Larson,Jesse Sanders,Brock Larson,0.65,0.5,1.0,0.0,0.0,0.0
7134,Rob Kimmons,Joe Vedepo,Rob Kimmons,0.46,0.0,0.136986301369863,0.33,1.0,0.863013698630137
7135,Cole Miller,Junie Browning,Cole Miller,0.18,0.0,0.0,0.33,0.0,1.0
7136,Tyson Griffin,Rafael Dos Anjos,Tyson Griffin,0.32,0.25,0.9715909090909091,0.19,0.0,0.028409090909090908
7137,Aaron Simpson,Tim McKenzie,Aaron Simpson,0.59,1.0,1.0,0.25,0.0,0.0
